SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
0.0.0.0,255.255.255.255,7,342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-26 14:49; 2022-08-26 14:50; 2022-08-26 14:55; 2022-08-26 14:56
0.0.0.0,255.255.255.255,7,342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-26 15:01; 2022-08-26 15:02
0.0.0.0,255.255.255.255,7,342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 342:outgoing; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-26 15:09; 2022-08-26 15:10; 2022-08-26 15:15; 2022-08-26 15:16
10.155.14.1,109.105.109.204,7,1428:outgoing; 102:outgoing; 102:outgoing; 114:outgoing; 114:outgoing; 102:outgoing; 1428:outgoing; 380:outgoing; 380:outgoing; 1432:incoming; 105:incoming; 287:incoming; 106:incoming; 106:outgoing; 109:outgoing; 182:outgoing; 74:incoming; 287:incoming; 435:incoming; 1432:incoming; 1432:incoming; 110:outgoing; 114:incoming; 74:incoming; 1432:incoming; 1432:incoming; 102:outgoing; 70:outgoing; 158:outgoing; 106:outgoing; 118:incoming; 106:incoming; 74:incoming; 74:incoming; 106:outgoing; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming,2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45
10.155.14.1,109.105.109.205,7,1428:outgoing; 1432:incoming; 1432:incoming; 109:outgoing; 287:incoming; 106:outgoing; 106:outgoing; 287:incoming; 105:incoming; 380:outgoing; 1432:incoming; 106:outgoing; 1432:incoming; 1432:incoming; 380:outgoing; 106:outgoing; 1432:incoming; 1432:incoming; 106:outgoing; 1428:outgoing; 106:outgoing; 116:incoming; 102:incoming; 265:outgoing; 265:outgoing; 102:incoming; 116:incoming; 106:outgoing; 273:outgoing; 118:incoming; 98:incoming; 106:outgoing; 106:outgoing; 102:incoming; 273:outgoing; 102:incoming; 273:outgoing; 116:incoming; 102:incoming; 273:outgoing; 273:outgoing; 102:incoming; 116:incoming; 106:outgoing; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45
10.155.14.1,109.105.109.206,7,1428:outgoing; 109:outgoing; 106:outgoing; 106:outgoing; 303:incoming; 105:incoming; 303:incoming; 840:outgoing; 1428:outgoing; 1432:incoming; 418:outgoing; 534:outgoing; 1432:incoming; 1432:incoming; 106:outgoing; 1426:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 106:outgoing; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 106:outgoing; 106:outgoing; 102:incoming; 109:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing; 106:outgoing,2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45; 2022-08-29 14:46
10.155.14.1,109.105.109.207,7,1428:outgoing; 1432:incoming; 1432:incoming; 106:outgoing; 106:outgoing; 287:incoming; 105:incoming; 1432:incoming; 379:outgoing; 1428:outgoing; 106:outgoing; 1432:incoming; 1432:incoming; 379:outgoing; 106:outgoing; 379:outgoing; 1432:incoming; 1432:incoming; 106:outgoing; 106:outgoing; 116:incoming; 102:incoming; 264:outgoing; 264:outgoing; 102:incoming; 116:incoming; 106:outgoing; 264:outgoing; 102:incoming; 116:incoming; 106:outgoing; 106:outgoing; 116:incoming; 264:outgoing; 102:incoming; 102:incoming; 264:outgoing; 102:incoming; 116:incoming; 264:outgoing; 106:outgoing; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45
10.155.14.1,142.250.74.10,7,110:outgoing; 106:incoming; 140:outgoing; 144:incoming; 102:outgoing; 1030:outgoing; 175:incoming; 401:incoming; 102:outgoing; 114:outgoing; 195:outgoing; 114:outgoing; 64:incoming; 64:incoming; 64:incoming; 454:incoming; 106:incoming; 277:outgoing; 102:outgoing; 114:incoming; 114:outgoing; 148:outgoing; 441:incoming; 533:incoming; 152:incoming; 102:outgoing; 106:incoming; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding; 0:padding,2022-08-29 14:43
10.155.14.1,142.250.74.132,7,110:outgoing; 94:incoming; 94:incoming; 102:outgoing; 126:outgoing; 102:outgoing; 106:incoming; 1011:incoming; 106:incoming; 106:incoming; 166:outgoing; 102:outgoing; 336:outgoing; 102:outgoing; 114:incoming; 114:outgoing; 619:outgoing; 106:incoming; 64:incoming; 102:outgoing; 146:incoming; 64:incoming; 102:outgoing; 64:incoming; 114:outgoing; 102:outgoing; 114:incoming; 110:outgoing; 102:outgoing; 114:outgoing; 114:outgoing; 64:incoming; 64:incoming; 110:outgoing; 1408:incoming; 106:incoming; 118:incoming; 176:outgoing; 60:outgoing; 102:outgoing; 114:incoming; 64:incoming; 102:outgoing; 102:outgoing; 106:incoming; 106:incoming; 102:outgoing; 102:outgoing; 1432:incoming; 1406:incoming,2022-08-29 14:41; 2022-08-29 14:42; 2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45
10.155.14.1,142.250.74.142,7,1428:outgoing; 1432:incoming; 60:outgoing; 176:outgoing; 118:incoming; 106:incoming; 869:incoming; 64:incoming; 64:incoming; 64:incoming; 64:incoming; 114:outgoing; 114:outgoing; 114:outgoing; 114:outgoing; 114:outgoing; 102:outgoing; 1432:incoming; 1432:incoming; 1432:incoming; 1432:incoming; 106:outgoing; 106:outgoing; 110:outgoing; 1432:incoming; 1432:incoming; 64:incoming; 102:outgoing; 1432:incoming; 114:incoming; 1432:incoming; 102:outgoing; 110:outgoing; 114:incoming; 102:outgoing; 60:outgoing; 176:outgoing; 118:incoming; 106:incoming; 869:incoming; 110:outgoing; 64:incoming; 64:incoming; 114:outgoing; 114:outgoing; 114:outgoing; 114:outgoing; 114:outgoing; 1428:outgoing; 64:incoming,2022-08-29 14:43; 2022-08-29 14:44; 2022-08-29 14:45; 2022-08-29 14:46
