SrcAddr,DstAddr,TimeWindow,Packets,Timestamp
10.45.0.2,157.90.35.62,7,142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoing; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 18:20; 2022-10-04 18:21; 2022-10-04 18:22; 2022-10-04 18:23; 2022-10-04 18:24; 2022-10-04 18:25; 2022-10-04 18:26; 2022-10-04 18:27
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 18:27; 2022-10-04 18:28; 2022-10-04 18:29; 2022-10-04 18:30; 2022-10-04 18:31; 2022-10-04 18:32; 2022-10-04 18:33; 2022-10-04 18:34
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:incoming; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming,2022-10-04 18:34; 2022-10-04 18:35; 2022-10-04 18:36; 2022-10-04 18:37; 2022-10-04 18:38; 2022-10-04 18:39; 2022-10-04 18:40; 2022-10-04 18:41
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 18:41; 2022-10-04 18:42; 2022-10-04 18:43; 2022-10-04 18:44; 2022-10-04 18:45; 2022-10-04 18:46; 2022-10-04 18:47; 2022-10-04 18:48
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 18:48; 2022-10-04 18:49; 2022-10-04 18:50; 2022-10-04 18:51; 2022-10-04 18:52; 2022-10-04 18:53; 2022-10-04 18:54; 2022-10-04 18:55
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 18:55; 2022-10-04 18:56; 2022-10-04 18:57; 2022-10-04 18:58; 2022-10-04 18:59; 2022-10-04 19:00; 2022-10-04 19:01; 2022-10-04 19:02
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:02; 2022-10-04 19:03; 2022-10-04 19:04; 2022-10-04 19:05; 2022-10-04 19:06; 2022-10-04 19:07; 2022-10-04 19:08; 2022-10-04 19:09
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:outgoingA; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:outgoingA; 142:incoming; 142:incoming; 142:outgoingA; 142:incoming; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:09; 2022-10-04 19:10; 2022-10-04 19:11; 2022-10-04 19:12; 2022-10-04 19:13; 2022-10-04 19:14; 2022-10-04 19:15; 2022-10-04 19:16
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:16; 2022-10-04 19:17; 2022-10-04 19:18; 2022-10-04 19:19; 2022-10-04 19:20; 2022-10-04 19:21; 2022-10-04 19:22; 2022-10-04 19:23
10.45.0.2,157.90.35.62,7,142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA; 142:outgoingA; 142:incomingA,2022-10-04 19:23; 2022-10-04 19:24; 2022-10-04 19:25; 2022-10-04 19:26; 2022-10-04 19:27; 2022-10-04 19:28; 2022-10-04 19:29; 2022-10-04 19:30
